train_number_clean,train_name,from_station_code,from_station_name,to_station_code,to_station_name,distance_km,duration_hours,duration_minutes
51828,Jhansi Itarsi Passenger,JHS,JHANSI JN,ET,ITARSI JN,383.0,17.0,10.0
51829,Nagpur Itarsi Passenger,NGP,NAGPUR,ET,ITARSI JN,320.0,9.0,45.0
51830,Itarsi Nagpur Passenger,ET,ITARSI JN,NGP,NAGPUR,298.0,8.0,35.0
51831,Jhansi Agra Passenger,JHS,JHANSI JN,AGC,AGRA CANTT,216.0,5.0,15.0
51832,Agra Jhansi Passenger,AGC,AGRA CANTT,JHS,JHANSI JN,216.0,5.0,5.0
51861,Ait Konch Passenger,AIT,AIT,KNH,Konch,13.0,0.0,35.0
51823,Farukhabad Allahabad kanpur Passenger,ALD,ALLAHABAD JN,FBD,FARRUKHABAD,334.0,10.0,0.0
51824,Farrukhabad Allahabad Passenger,FBD,FARRUKHABAD,ALD,ALLAHABAD JN,334.0,10.0,5.0
51825,Kanpur Farrukhabaad Passenger,CNB,KANPUR CENTRAL,FBD,FARRUKHABAD,140.0,4.0,0.0
51826,Farrukhabad Kanpur Passenger,FBD,FARRUKHABAD,CNB,KANPUR CENTRAL,140.0,3.0,50.0
51863,Ait Konch Passenger,AIT,AIT,KNH,Konch,13.0,0.0,35.0
51864,Konch Ait Passenger,KNH,Konch,AIT,AIT,13.0,0.0,35.0
51865,Ait Konch Passenger,AIT,AIT,KNH,Konch,13.0,0.0,35.0
51866,Konch Ait Passenger,KNH,Konch,AIT,AIT,13.0,0.0,35.0
51867,Ait Konch Passenger,AIT,AIT,KNH,Konch,13.0,0.0,35.0
51868,Konch Ait Passenger,KNH,Konch,AIT,AIT,13.0,0.0,35.0
51869,Ait Konch Passenger,AIT,AIT,KNH,Konch,13.0,0.0,35.0
51870,Konch Ait Passenger,KNH,Konch,AIT,AIT,13.0,0.0,35.0
51901,Agra Delhi Passenger,AGC,AGRA CANTT,DLI,OLD DELHI,197.0,7.0,43.0
51902,Delhi Agra Passenger,DLI,OLD DELHI,AGC,AGRA CANTT,197.0,6.0,40.0
51903,Delhi Rohtak Passenger,DLI,OLD DELHI,ROK,ROHTAK JN,70.0,2.0,15.0
51904,Rohtak Delhi Passenger,ROK,ROHTAK JN,DLI,OLD DELHI,70.0,2.0,40.0
51905,Delhi Shamli Passenger,DLI,OLD DELHI,SMQL,SHAMLI,94.0,3.0,25.0
51906,Shamli Delhi Passenger,SMQL,SHAMLI,DLI,OLD DELHI,94.0,2.0,40.0
